FileName,Class_Label,Primary_Manufacturing_Label,Density_g_cc,Ultimate_Tensile_Strength_Average_MPa,Melting_Point_C
bearings_0000.stl_128.binvox,0,2,-1.11140029,-1.458091495,-1.191025761
bearings_0001.stl_128.binvox,0,0,0.246765781,-1.107766022,-1.136759941
bearings_0002.stl_128.binvox,0,0,0.246765781,-1.107766022,-1.136759941
bearings_0003.stl_128.binvox,0,0,0.246765781,-1.107766022,-1.136759941
bearings_0004.stl_128.binvox,0,0,1.074756181,-0.524567585,0.193757565
bearings_0005.stl_128.binvox,0,2,-1.268489378,-1.032580161,-1.440246563
bearings_0006.stl_128.binvox,0,2,-1.11140029,-1.458091495,-1.191025761
bearings_0007.stl_128.binvox,0,2,-1.16049063,-1.443867142,-1.191025761
bearings_0008.stl_128.binvox,0,2,-1.543068012,-1.381279993,-1.448285943
bearings_0009.stl_128.binvox,0,2,-1.16049063,-1.443867142,-1.191025761
bearings_0010.stl_128.binvox,0,2,-1.373215436,-0.849695633,-1.080484276
bearings_0011.stl_128.binvox,0,2,-1.268489378,-1.032580161,-1.440246563
bearings_0012.stl_128.binvox,0,0,1.074756181,-0.524567585,0.193757565
bearings_0013.stl_128.binvox,0,2,-1.392851572,-1.402819726,-1.540738821
bearings_0014.stl_128.binvox,0,2,-1.392851572,-1.402819726,-1.540738821
bearings_0015.stl_128.binvox,0,2,-1.301216271,-0.744029018,-1.313626317
bearings_0016.stl_128.binvox,0,2,-1.20958097,-1.423546639,-1.191025761
bearings_0017.stl_128.binvox,0,2,-1.301216271,-0.744029018,-1.313626317
bearings_0018.stl_128.binvox,0,2,-1.543395281,-1.337387706,-1.502551763
bearings_0019.stl_128.binvox,0,2,-1.543068012,-1.381279993,-1.448285943
bearings_0020.stl_128.binvox,0,2,-1.11140029,-1.458091495,-1.191025761
bearings_0021.stl_128.binvox,0,0,0.59039816,0.999470143,0.290230134
bearings_0022.stl_128.binvox,0,2,-1.268489378,-1.032580161,-1.440246563
bearings_0023.stl_128.binvox,0,0,0.246765781,-1.107766022,-1.136759941
bearings_0024.stl_128.binvox,0,2,-1.11140029,-1.458091495,-1.191025761
bearings_0025.stl_128.binvox,0,2,-1.11140029,-1.458091495,-1.191025761
bearings_0026.stl_128.binvox,0,0,1.042029287,-0.463606076,-0.051443546
bearings_0027.stl_128.binvox,0,2,-1.11140029,-1.458091495,-1.191025761
bearings_0028.stl_128.binvox,0,2,-1.386306193,-1.231721091,-1.416128421
bearings_0029.stl_128.binvox,0,0,0.246765781,-1.107766022,-1.136759941
bearings_0030.stl_128.binvox,0,0,0.59039816,0.999470143,0.290230134
bearings_0031.stl_128.binvox,0,0,0.246765781,-1.107766022,-1.136759941
bearings_0032.stl_128.binvox,0,2,-1.471396116,-1.193924955,-1.327695233
bearings_0033.stl_128.binvox,0,2,-1.20958097,-1.423546639,-1.191025761
bearings_0034.stl_128.binvox,0,0,0.59039816,0.999470143,0.290230134
bearings_0035.stl_128.binvox,0,2,-1.373215436,-0.849695633,-1.080484276
bearings_0036.stl_128.binvox,0,0,1.042029287,-0.463606076,-0.051443546
bearings_0037.stl_128.binvox,0,0,1.042029287,-0.463606076,-0.051443546
bearings_0038.stl_128.binvox,0,2,-1.373215436,-0.849695633,-1.080484276
bearings_0039.stl_128.binvox,0,2,-1.137581804,-1.395910755,-1.104602418
bearings_0040.stl_128.binvox,0,2,-1.543395281,-1.337387706,-1.502551763
bearings_0041.stl_128.binvox,0,2,-1.11140029,-1.458091495,-1.191025761
bearings_0042.stl_128.binvox,0,2,-1.16049063,-1.443867142,-1.191025761
bearings_0043.stl_128.binvox,0,0,1.042029287,-0.463606076,-0.051443546
bearings_0044.stl_128.binvox,0,2,-1.11140029,-1.458091495,-1.191025761
bearings_0045.stl_128.binvox,0,2,-1.471396116,-1.193924955,-1.327695233
bearings_0046.stl_128.binvox,0,2,-1.268489378,-1.032580161,-1.440246563
bearings_0047.stl_128.binvox,0,2,-1.471396116,-1.193924955,-1.327695233
bearings_0048.stl_128.binvox,0,2,-1.268489378,-1.032580161,-1.440246563
bearings_0049.stl_128.binvox,0,2,-1.268489378,-1.032580161,-1.440246563
bearings_0050.stl_128.binvox,0,2,-1.301216271,-0.744029018,-1.313626317
bearings_0051.stl_128.binvox,0,2,-1.373215436,-0.849695633,-1.080484276
bearings_0052.stl_128.binvox,0,2,-1.392851572,-1.402819726,-1.540738821
bearings_0053.stl_128.binvox,0,0,1.074756181,-0.524567585,0.193757565
bearings_0054.stl_128.binvox,0,2,-1.137581804,-1.395910755,-1.104602418
bearings_0055.stl_128.binvox,0,2,-1.11140029,-1.458091495,-1.191025761
bearings_0056.stl_128.binvox,0,0,1.074756181,-0.524567585,0.193757565
bearings_0057.stl_128.binvox,0,2,-1.301216271,-0.744029018,-1.313626317
bushing_0000.stl_128.binvox,1,2,-1.16049063,-1.443867142,-1.191025761
bushing_0001.stl_128.binvox,1,0,0.770396073,0.552419076,1.043922075
bushing_0002.stl_128.binvox,1,2,-1.392851572,-1.402819726,-1.540738821
bushing_0003.stl_128.binvox,1,0,0.770396073,0.552419076,1.043922075
bushing_0004.stl_128.binvox,1,0,1.074756181,-0.524567585,0.193757565
bushing_0005.stl_128.binvox,1,2,-1.20958097,-1.423546639,-1.191025761
bushing_0006.stl_128.binvox,1,2,-1.20958097,-1.423546639,-1.191025761
bushing_0007.stl_128.binvox,1,2,-1.16049063,-1.443867142,-1.191025761
bushing_0008.stl_128.binvox,1,2,-1.373215436,-0.849695633,-1.080484276
bushing_0009.stl_128.binvox,1,0,0.246765781,-1.107766022,-1.136759941
bushing_0010.stl_128.binvox,1,2,-1.520486456,-1.471950078,-1.52867975
bushing_0011.stl_128.binvox,1,2,-1.20958097,-1.423546639,-1.191025761
bushing_0012.stl_128.binvox,1,0,0.727851112,0.694662598,0.652002265
bushing_0013.stl_128.binvox,1,2,-1.520486456,-1.471950078,-1.52867975
bushing_0014.stl_128.binvox,1,0,0.770396073,0.552419076,1.043922075
bushing_0015.stl_128.binvox,1,0,1.042029287,-0.463606076,-0.051443546
bushing_0016.stl_128.binvox,1,2,-1.543395281,-1.337387706,-1.502551763
bushing_0017.stl_128.binvox,1,2,-1.543068012,-1.381279993,-1.448285943
bushing_0018.stl_128.binvox,1,2,-1.301216271,-0.744029018,-1.313626317
bushing_0019.stl_128.binvox,1,2,-1.471396116,-1.193924955,-1.327695233
bushing_0020.stl_128.binvox,1,0,1.042029287,-0.463606076,-0.051443546
bushing_0021.stl_128.binvox,1,2,-1.520486456,-1.471950078,-1.52867975
bushing_0022.stl_128.binvox,1,2,-1.20958097,-1.423546639,-1.191025761
bushing_0023.stl_128.binvox,1,2,-1.543395281,-1.337387706,-1.502551763
bushing_0024.stl_128.binvox,1,2,-1.137581804,-1.395910755,-1.104602418
bushing_0025.stl_128.binvox,1,2,-1.520486456,-1.471950078,-1.52867975
bushing_0026.stl_128.binvox,1,2,-1.20958097,-1.423546639,-1.191025761
bushing_0027.stl_128.binvox,1,0,0.770396073,0.552419076,1.043922075
bushing_0028.stl_128.binvox,1,2,-1.543068012,-1.381279993,-1.448285943
bushing_0029.stl_128.binvox,1,0,0.246765781,-1.107766022,-1.136759941
bushing_0030.stl_128.binvox,1,2,-1.137581804,-1.395910755,-1.104602418
bushing_0031.stl_128.binvox,1,0,0.246765781,-1.107766022,-1.136759941
bushing_0032.stl_128.binvox,1,2,-1.16049063,-1.443867142,-1.191025761
bushing_0033.stl_128.binvox,1,0,0.655851947,1.58063653,1.210739224
bushing_0034.stl_128.binvox,1,2,-1.471396116,-1.193924955,-1.327695233
bushing_0035.stl_128.binvox,1,0,1.074756181,-0.524567585,0.193757565
bushing_0036.stl_128.binvox,1,2,-1.20958097,-1.423546639,-1.191025761
bushing_0037.stl_128.binvox,1,2,-1.441941912,-1.470527642,-1.329705078
bushing_0038.stl_128.binvox,1,0,0.727851112,0.694662598,0.652002265
bushing_0039.stl_128.binvox,1,0,1.042029287,-0.463606076,-0.051443546
bushing_0040.stl_128.binvox,1,2,-1.566304106,-1.43086202,-1.468384395
bushing_0041.stl_128.binvox,1,2,-1.543068012,-1.381279993,-1.448285943
bushing_0042.stl_128.binvox,1,2,-1.536849902,-1.471503027,-1.588975106
bushing_0043.stl_128.binvox,1,2,-1.471396116,-1.193924955,-1.327695233
bushing_0044.stl_128.binvox,1,0,0.770396073,0.552419076,1.043922075
bushing_0045.stl_128.binvox,1,2,-1.471396116,-1.404851777,-1.609073557
bushing_0046.stl_128.binvox,1,2,-1.536849902,-1.471503027,-1.588975106
bushing_0047.stl_128.binvox,1,0,1.074756181,-0.524567585,0.193757565
bushing_0048.stl_128.binvox,1,0,0.246765781,-1.107766022,-1.136759941
bushing_0049.stl_128.binvox,1,0,1.074756181,-0.524567585,0.193757565
